indicator,sex,etype,year2,los50,los25,los75,los05,los95,nevent
1,Female,Both,All years,6,3,12,1,36,3401
2,Male,Both,All years,6,4,12,1,40,3660
4,Both,Stroke,All years,7,2,16,0,46,4809
5,Both,AMI,All years,6,5,9,3,19,2252
7,Both,Stroke,2010-2011,4,1,11,0,47,551
8,Both,Stroke,2012-2013,7,3,14,0,46,631
9,Both,Stroke,2014-2015,6,2,14,0,47,673
10,Both,Stroke,2016-2017,6,1,15,0,39,735
11,Both,Stroke,2018-2019,8,3,18,1,47,786
12,Both,Stroke,2020-2021,7,3,18,1,46,733
13,Both,Stroke,2022-2023,10,4,19.5,1,48,700
15,Both,AMI,2010-2011,6,5,9,3,18,192
16,Both,AMI,2012-2013,6,5,9,3,17,271
17,Both,AMI,2014-2015,5,4,8,3,21,326
18,Both,AMI,2016-2017,6,4,9,3,21.5,400
19,Both,AMI,2018-2019,6,5,9,3,20,428
20,Both,AMI,2020-2021,6,4,8,3,15,345
21,Both,AMI,2022-2023,6,5,9,3,15,290
